Name,Ratings,genres,overview,Year,Cast
Yeh Kahan Aa Gaye Hum,9.1,Drama,"The show revolves around the unusual love stories of two contrasting opposite persons. Things do not remain the same when Rahul, a Rock-star and the scion of the biggest musical empire runs...                See full summary »",2015–2016,"Karan Kundrra ,Saanvi Talwar ,Kaliprasad Mukherjee ,Giriraj Kabra"
Gangaa,6.6,Drama,"Ganga, a child widow, undergoes many difficulties as she lives in a locality consisting of ultraconservative people. But, in an endearing yet courageous way, she questions obsolete traditions.",2015– ,"Aditi Dev Sharma ,Vishal Vashishtha ,Raj Singh Verma ,Shakti Anand"
Darr Sabko Lagta Hai,6.0,Horror,"The series is a supernatural fiction, which focuses on a different aspect of paranormal activity, such as ghosts, zombies, phantoms, possessed objects and witches and wizards.",2015– ,"Jayesh Raj ,Sachin Shroff ,Shweta Basu Prasad ,Gaurav Khanna"
EK Vivah Aisa Bhi,7.3,Drama,Add a Plot,2017– ,"Latika Gill ,Abhishek Malik ,Sonali Nikam ,Shefali Rana"
Agniphera,6.5,Drama,The story of two brides and one groom.,2017– ,"Ankit Gera ,Yukti Kapoor ,Simran Kaur ,Mohak Khurana"
Badho Bahu,5.4,Drama,The story of the series narrates the story of an overweight girl who overcomes her life's battles with aplomb (Overweight). 'Choto' decides to celebrate Teej with the Bajwa family and takes...                See full summary »,2016– ,"Rytasha Rathore ,Prince Narula ,Pankaj Dheer ,Roopa Ganguly"
Half Marriage,5.4,"Comedy, Drama, Romance","Arjun, a middle-class boy, and Chandini, the daughter of a famous politician, hate each other. They find themselves in a fix when Chandini's father gets her married to Arjun for his interests.",2017– ,"Priyanka Purohit ,Tarun Mahilani ,Tanuj Miglani ,Karan Thakur"
Dilli Wali Thakur Gurls,9.0,Drama,The show is set against the backdrop of Delhi and the story revolves around five siblings who are alphabetically named and very different from each other.,2015,"Sukirti Kandpal ,Shilpa Raizada ,Meera Deosthale ,Sara Khan"
Kahani Hamari... Dil Dosti Deewanepan Ki,7.4,Romance,Kahani Hamari...Dil Dosti Deewanepan Ki is a Television show that airs on &TV. The show aired on 16 May 2016 for the first time.,2016– ,"Karan Wahi ,Krissann Barretto ,Rhea Sharma ,Nikhil Chaddha"
Laal Ishq,5.4,"Mystery, Romance, Thriller","Laal Ishq is a Hindi romantic series of passionate love stories set in different backdrops, each episode showcase an offbeat love story with a supernatural twist.",2018– ,"Smita Sharan ,Prem Saxena ,Tejasvi Khatal ,Kirtie"
Bitti Business Wali,8.1,Drama,"Bitti as a hardworking woman who aspires to gain financial independence, being aware that it might invite naysayers in her small town.",2018– ,"Arshi Khan ,Preeti Kochar ,Neha Kaul ,Abhishek Gupta"
Kuldeepak,0.0,Drama,This is a great new show about a baby who has been posessed by a demon and born into a large family who are oblivious to this truth. We watch as the story unfolds with superb suspense and ...                See full summary »,2017– ,
Adhuri Kahaani Hamari,6.3,"Romance, Thriller",'Adhuri Kahaani Humari' is a show that deals with the idea of rebirth for the sake of love.,2015–2016,"Mahima Makwana ,Laksh Lalwani ,Suhani Dhanki ,Niel Satpuda"
Perfect Pati,7.5,Drama,Explores the non-idealistic married life of Vidhita and Pushkar and tries to question the thought that whether an ideal son is capable of being an ideal husband.,2018–2019,"Mohit Nain ,Farman Haidar ,Ayush Anand ,Jaya Prada"
Meri Hanikarak Biwi,7.1,"Comedy, Drama","Akhilesh, a village simpleton whose world turns upside-down when his doctor fiancee accidentally performs a vasectomy procedure on him before their wedding.",2017–2019,"Jiya Shankar ,Karan Suchak ,Mohit Nain ,Shaan Kakkar"
Vikram Betaal Ki Rahasya Gatha,8.7,Fantasy,Add a Plot,2018–2019,"Aham Sharma ,Amardeep Garg ,Makrand Deshpande ,Charu Asopa"
Paramavatar Shri Krishna,5.3,Drama,Reminisce the naughtiness and enchanting ways of Krishna.,2017– ,"Nirnay Samadhiya ,Amardeep Garg ,Mahi Soni ,Manish Wadhwa"
Daayan,6.6,Horror,A gripping tale of a girl's quest in revealing the identity of the evil force hidden among-st her close ones and defeating its sinister plans.,2018–2019,"Giriraj Kabra ,Nitanshi Goel ,Tina Dutta ,Mohit Malhotra"
Main Bhi Ardhangini,6.4,"Drama, Romance, Thriller",A romantic drama of true love that lives beyond eternity and transcends even death.,2019,"Deepshikha Nagpal ,Avinash Sachdev ,Aditi Rawat ,Anjali Priya"
Happu Ki Ultan Paltan,8.3,Comedy,Daroga Happu Singh lands in trouble by having his own battalion of naughty children.,2019– ,"Yogesh Tripathi ,Kamna Pathak ,Himani Shivpuri ,Ashna Kishore"
Shaadi Ke Siyape,0.0,Comedy,Marriage hall owner Fancy aunty with her squad of uniquely gifted human-aliens take on the world of weddings.,2019– ,"Bhavya Gandhi ,Gaurav Sharma ,Shagun Sharma ,Sheen Das"
Bhagyalaxmi,0.0,Drama,Bhoomi a young woman has to choose between her marriage life and professional life.,2015–2016,"Aruna Irani ,Sara Khan ,Simran Pareenja ,Vartika Chauhan"
Chupke Chupke,0.0,Drama,Meera and Abhishek are trying to run away from the institution of marriage but eventually end up in one on their own terms and conditions - making it a marriage of convenience.,2017,"Bhuvnesh Shetty ,Farida Dadi ,Suparna Marwah ,Mohit Malhotra"
Mitegi Laxman Rekha,9.7,Drama,Add a Plot,2018,"Aayesha Vindhara ,Ankita Goraya ,Rajeev Saxena ,Vaishnavi Mahant"
Jaat Na Poocho Prem Ki,7.1,Romance,"Suman and Badal from two different caste backgrounds, who try and pursue their relationship despite the social dictates of caste-ism, and attempt in changing the mindset of their respective families and eventually the society.",2019– ,"Mohit Tiwari ,Pranali Singh Rathore ,Avinash Mukherjee ,Shiivay Katyal"
Vani Rani,0.0,Drama,Add a Plot,2017–2018,"Tanvi Azmi ,Shivani Tomar ,Jitendra Nokewal ,Premnath Gulati"
The Voice (India),7.5,Reality-TV,Add a Plot,2015–2019,"Shaan ,Himesh Reshammiya ,Salim Merchant ,Sunidhi Chauhan"
Gudiya Humari Sabhi Pe Bhaar,5.9,Drama,"The story revolves around Gudiya, a goofy, ordinary looking, free-spirited girl whose family is desperate to find a spouse for her. After being rejected by many men, her family finally ...                See full summary »",2019– ,"Sarika Bahroliya ,Rajendra Bhatia ,Manish Kaushik ,Samta Sagar"
Yeshu,4.9,Drama,which depicts the childhood of Yeshu Masih (Jesus Christ). This series showcases Yeshu's miracles and how he helped people with his healing powers in a world afflicted by sins and evil. The...                See full summary »,2020– ,"Devtosh Mukherjee ,Pushkar Priyadarshi ,Misha Krishna Kataria ,Rahul Gupta"
Ek Mahanayak - Dr B R Ambedkar,7.8,Drama,"Ek Mahanayak is the story of Dr. Bhimrao Ambedkar, the founding father of the Constitution of India. For the first time, the story of Babasaheb will be shown on television through serial. ...                See full summary »",2019– ,"Atharva Karve ,Vikram Dwivedi ,Krishna Mishra ,Narayani Varne"
Santoshi Maa - Sunayein Vrat Kathayein,4.2,Drama,Add a Plot,2020– ,"Gracy Singh ,Tanvi Dogra ,Vijay Badlani ,Devtosh Mukherjee"
Mauka-E-Vardaat,6.5,"Crime, Thriller","Things get brutal when Nibha, a young woman, is murdered on her wedding day. Later, when the police investigate, a startling truth surfaces.",2021– ,"Surbhi Mittal ,Aarushi Thakkar ,Geetanjali Geet ,Man Singh Karamati"
Ghar Ek Mandir,,Drama,Genda teaches everyone not to consider anyone small and to have the same attitude towards each other.,2022– ,"Sameer Dharmadhikari ,Shrenu Parikh ,Yamini Singh ,Sai Ballal"
Indias Asli Championhai Dum,0.0,Reality-TV,India's Asli Champion-Hai Dum is an Indian reality stunt show hosted by Suniel Shetty. The unique show aims to find the fittest Indian who would survive the ultimate test of physical and ...                See full summary »,2017– ,
Uttaran,4.3,Drama,The story of two friends with opposite backgrounds.,2008– ,"Raj Singh Verma ,Tina Dutta ,Rashmi Desai ,Tripti Agarwal"
Balika Vadhu,3.6,Drama,"Set in rural Rajasthan, 'Balika Vadhu' traces the arduous journey of child bride Anandi from childhood to the brink of womanhood. Married at the tender age of eight, Anandi must accept and ...                See full summary »",2008–2016,"Surekha Sikri ,Toral Rasputra ,Pratyusha Banerjee ,Avika Gor"
Parichay: Nayee Zindagi Kay Sapno Ka,7.5,Drama,A fallen hero Kunal Chopra who has lost his zest in life due to his failures and continues to lead a nonchalant life.,2011–2013,"Mona Wasu ,Keerti Nagpure ,Samir Soni ,Aarti Singh"
Bairi Piya,7.0,Drama,Bairi Piya is a comment on how the poor and the needy are exploited by rich money lenders and how hundreds of poverty stricken girls fall prey to manipulative men seeing no respite in sight.,2009–2010,"Shresth Kumar ,Supriya Kumari ,Sharad Kelkar ,Sanjay Gagnani"
Naagin,3.3,"Drama, Fantasy, Mystery","A miraculous shape-shifting snake has the power to become a human. She can be anybody she wants: a wife, a seductress, a mistress, a damsel in distress--all in the name of revenge.",2015– ,"Sudha Chandran ,Mouni Roy ,Adaa Khan ,Surbhi Jyoti"
Kavach... Kaali Shaktiyon Se,5.4,"Fantasy, Thriller","A married girl's relationship is in turmoil when a spirit, who wants her husband dead, enters her body. She then has to struggle to save her husband from the clutches of the supernatural.",2016–2019,"Mona Singh ,Vivek Dahiya ,Deepika Singh ,Ashwini Kalsekar"
Chandrakanta,4.0,Fantasy,"Young Chandrakanta, the princess of the kingdom of Vijaygarh loses her family and kingdom in a battle waged by the evil Queen Iravati of Naugarh, hungry for ultimate power. Her mother, ...                See full summary »",2017–2018,"Kapil Singh Lalwani ,Vinod Kapoor ,Anuj Sharma ,Maleeka Ghai"
Laado 2: Veerpur Ki Mardani,7.5,Drama,"Ammaji is back. Living a retired life, she is now a changed person and her only aim in life is to protect her 2 granddaughters, Anushka and Jahnvi. But what happens when one wrong move by ...                See full summary »",2017–2018,"Vinny Arora ,Avika Gor ,Shaleen Malhotra ,Siddharth Arora"
Na Aana Iss Des Laado,6.5,Drama,"A powerful lady from a village 'Ammaji' who decrees that newly born girls would be killed by drowning them in milk, and many other such acts. Ammaji are very anti-women.",2009–2012,"Meghna Malik ,Vaishnavi Dhanraj ,Simran Kaur Hundal ,Yash Dasgupta"
Rishton Se Badi Pratha,7.1,Drama,"The story highlights the practice of ""honour-killings""-meted out to young people in love who hail from different castes/family backgrounds. Abhay and Surabhi are in love, but their families...                See full summary »",2010–2011,"Parul Chauhan ,Vishal Karwal ,Shalini Chandran ,Gaurav Chaudhary"
Dil Se Dil Tak,8.2,Drama,"Parth and Shorvori decide to get married, despite stiff opposition from their families. However, destiny has other plans for them as they cross paths with Teni.",2017–2018,"Rohan Gandotra ,Rashmi Desai ,Jasmin Bhasin ,Sidharth Shukla"
Ishq Mein Marjawan,5.8,"Crime, Musical, Mystery","A young woman comes across the man of her dreams and settles down with him. However, post her marriage, she finds herself among manipulative people and framed for a series of murders.",2017– ,"Arjun Bijlani ,Aalisha Panwar ,Nia Sharma ,Harsh Vashisht"
Kasam Teri Pyaar Ki,5.6,Romance,"Kasam is a story of star crossed lovers Rishi and Tanu who are destined to be together since birth. Their love has stood the test of time, cheating even death. This story of reincarnation will even make non believers believe in love.",2016–2018,"Sharad Malhotra ,Kratika Sengar ,Aishwarya Raj Bhakuni ,Shivika Rishi"
Mahakaali - Anth Hi Aarambh Hai,7.0,"Drama, Family, Fantasy","The story of Parvati Devi and her most dangerous avatar, Mahakali.",2017–2019,"Pooja Sharma ,Saurabh Raj Jain ,Kanan Malhotra ,Nikita Sharma"
Shakti: Astitva Ke Ehsaas Ki,3.5,Drama,This story is about the struggle of a human being fighting for what is right. Surbhi wants everyone to know that Saumya is just as much a part of the society as everyone else and she is no ...                See full summary »,2016– ,"Rubina Dilaik ,Vivian Dsena ,Gauri Tonk ,Jigyasa Singh"
Tu Aashiqui,7.2,"Drama, Musical, Romance","Pankti falls in love with Ahaan, a musician. However, as they try to take their relationship forward, Pankti's mother decides to get her married to a rich man.",2017–2018,"Jannat Zubair Rahmani ,Ritwik Arora ,Rahil Azam ,Himanshi Choudhary"
Udaan,4.3,Drama,"The tale of Chakor, a free-spirited young girl whose existence is pawned by her helpless and poverty-stricken desperate family when in her mother's womb, as collateral for money.",2014–2019,"Vijayendra Kumeria ,Vidhi Pandya ,Paras Arora ,Meera Deosthale"
Belan Wali Bahu,6.8,Comedy,"Roopa, a clumsy but softhearted housewife who tries her best to beat everyone one way or another.",2018,"Krystle D'Souza ,Dheeraj Sarna ,Ashwin Kaushal ,Khushboo Shroff"
Madhubala - Ek Ishq Ek Junoon,5.4,Drama,Its a typical Indian TV show based on story of a girl and her struggle with her life 'Madhubala'. She was born in dramatic situations on a movie stage.,2012–2014,"Drashti Dhami ,Vivian Dsena ,Seema Kapoor ,Jimit Trivedi"
Maati Ki Banno,7.1,Drama,Add a Plot,2010,"Yagya Saxena ,Jannat Zubair Rahmani ,Nishigandha Wad ,Manoj Chandila"
Meri Aashiqui Tum Se Hi,5.7,Drama,"Ranvir come to Mumbai with his father at age of 9 .The first time he saw Ishaani,he fell in love with her.however,he had to face a lot of trouble to confess his love to her.",2014– ,"Shakti Arora ,Radhika Madan ,Shahab Khan ,Shaan Kakkar"
Mohe Rang De,8.8,"Drama, Romance","'Mohe Rang De' is a period drama set against the backdrop of the India's struggle for independence in 1942, when the Quit India Movement was in full momentum.",2008–2009,
Na Bole Tum Na Maine Kuch Kaha,7.9,Drama,A crime reporter and a widow with two children whose lives become intertwined.,2012–2013,"Kunal Karan Kapoor ,Aakanksha Singh ,Neelu Kohli ,Manish Gandhi"
Phulwa,7.2,Drama,"'Phulwa' is a dramatic series that revolves around little 'Phulwa', an innocent village girl, who is as sweet and harmless as her name implies.",2011–2012,"Sargun Mehta ,Jannat Zubair Rahmani ,Ajay Chaudhary ,Aaryan Harnot"
Rangrasiya,6.8,Drama,Rangrasiya tells us the story of a village girl from a rural village in Rajasthan and an BSD officer...who are met at an encounter by BSD army.,2013–2014,"Ashish Sharma ,Sanaya Irani ,Sadiya Siddiqui ,Kaliprasad Mukherjee"
Swaragini: Jodein Rishton Ke Sur,3.8,Drama,"Two half sisters are caught in a web of love,deceit and revenge.",2015–2016,"Helly Shah ,Tejasswi Prakash ,Varun Kapoor ,Namish Taneja"
Laagi Tujhse Lagan,5.8,"Crime, Drama, Romance","Nakusha's life becomes a mockery due to her unattractive face. Despite her looks, she possesses a kind heart and a deep secret known only by her mother.",2009–2012,"Mishal Raheja ,Riddhi Dogra ,Aadesh Chaudhary ,Swati Chitnis"
Jeevan Saathi: Humsafar Zindagi Ke,7.8,Drama,About a girl face a lots of problems with her family to reach to her boyfriend which her family stopped in their way .,2008–2009,"Gaurav Khanna ,Jayant Rawal ,Nihar Thakkar ,Suzanne Bernert"
Jai Shri Krishna,6.9,"Biography, Fantasy","The series focuses on the antics of an adolescent Krishna and includes charming stories about flirting with young girls, dancing on the head of the snake and his ""Raas Leela"" with Radha.",2008–2009,"Meghan Jadhav ,Dhriti Bhatia ,Saurabh Raj Jain ,Kreetika Sharma"
Jaane Kya Baat Hui,0.0,Drama,"A beautiful young woman is leading an unhappy married life. Later, things take a turn for the worse after she finds out that her husband is having an extramarital affair.",2008–2009,
Ishq Ka Rang Safed,7.0,"Crime, Drama, Romance","Set amidst the color and custom of the ancient city of Banaras, Ishq Ka Rang Safed is the tale of the impossible love of Viplav for Dhaani. The carefree, spoilt grandson of Mahant Dashrath ...                See full summary »",2015– ,"Dakssh Ajit Singh ,Eisha Singh ,Mishal Raheja ,Pratima Kazmi"
Ek Shringaar-Swabhiman,8.0,Drama,A new age saga that addresses the most significant challenge faced by every Indian woman who aspires to have a thriving career and a successful marriage - Can I really have it all?,2016–2017,"Prachi Shah ,Sangeeta Chauhan ,Samridh Bawa ,Ankita Sharma"
Devanshi,8.4,Drama,"This is the story of Devanshi, a girl chosen by god to fight evil. She is thrown into a Haryana village where she must battle Mata Kusum Sundari, an evil woman who pretends to be a god devotee.",2016– ,"Helly Shah ,Piyush Sahdev ,Karuna Pandey ,Kashvi Kothari"
Dev,8.7,"Crime, Drama, Mystery","Showcasing stories inspired from real life events, this fictionalized investigative thriller plunges viewers into the world of Dev Burman - a detective who is an enigma in himself.",2017– ,"Aashish Chaudhary ,Amit Dolawat ,Puja Banerjee ,Jayshree Arora"
Chhal - Sheh Aur Maat,8.2,Thriller,"An intriguing tale of a girl from Delhi, called Neha, who gets married to her prince charming, Rishi. Everything was perfect in their marriage until one morning, when she wakes up, not with...                See full summary »",2012,"Hunar Hali ,Avinesh Rekhi ,Abhishek Malik ,Madhumalti Kapoor"
Chakravartin Ashoka Samrat,6.6,"Biography, History","The serial is about Indian Emperor, Ashoka, grandson of Chandragupta Maurya. The story starts with young Ashoka (Siddharth Nigam) who is getting guidance from Chanakya(Manoj Joshi) . ...                See full summary »",2015–2016,"Siddharth Nigam ,Sameer Dharmadhikari ,Pallavi Subhash Shirke ,Gaurav Pareek"
Beintehaa,6.4,"Comedy, Romance",Zain and Aliya are two equally headstrong individuals who don't see eye to eye on anything. The story follows their journey from hate to discovering love.,2013–2014,"Harshad Arora ,Preetika Rao ,Archna Dosija ,Mohit Malhotra"
Bani: Ishq Da Kalma,6.4,Drama,A 40 year old Bride married for the past 20 years awaits her NRI Husband return at the very station she had last seen him.,2013– ,"Shefali Sharma ,Neha Bagga ,Adhvik Mahajan ,Gaurav Chaudhary"
Bandhan Saat Janmon Ka,7.4,Family,Add a Plot,2008–2009,
Agnipareeksha Jeevan Ki: Gangaa,6.9,Drama,Add a Plot,2010,"Jayshree Soni ,Vivian Dsena ,Tarun Khanna ,Surendra Pal"
24,8.0,"Action, Adventure, Crime",This thriller series focuses on an anti-terrorist unit agent named Jai Singh Rathod who has twenty-four hours to save the country from a major terrorist attack.,2013–2016,"Anil Kapoor ,Neil Bhoopalam ,Raaghavv Chanana ,Anita Raj"
Bhaag Bakool Bhaag,7.8,Comedy,The sitcom is about Bakool who lives two lives.,2017,"Jay Soni ,Hiba Nawab ,Shruti Rawat ,Hina Khan"
Kairi: Rishta Khatta Meetha,6.3,Drama,"The show revolves around Ambi, a newlywed young woman who tries her level best to live up to the expectations of her overtly authoritative mother-in-law, but not at the cost of her self-respect.",2012–2013,"Hema Singh ,Preeti Chaudhary ,Jay Bhanushali ,Sangeeta Panwar"
Mrs. Pammi Pyarelal,8.2,Comedy,"A landlady wants to give her house on rent but her only criteria is that she needs married couples. Desperate and frustrated, a man goes to the extremes of giving himself a complete makeover.",2013– ,"Gaurav Gera ,Karan Goddwani ,Dimple Jhangiani ,Usha Nadkarni"
Bepannah,7.5,"Drama, Mystery, Romance",Zoya and Aditya meet in the most unfortunate circumstances.,2018,"Jennifer Winget ,Harshad Chopra ,Shahnawaz Hussain ,Shehzad Shaikh"
Silsila Badalte Rishton Ka,5.6,"Drama, Romance","Two best friends, one broken marriage, and a dangerously addictive affair.",2018– ,"Shakti Arora ,Aditi Dev Sharma ,Drashti Dhami ,Jaya Bhattacharya"
Kaun Hai?,7.1,Horror,"A horror show based on that real fear, experienced by real people in real haunted places.",2018– ,"Hemant Bharati ,Nia Sharma ,Hemant Choudhary ,Pankhuri Awasthi"
Mukti Bandhan,9.2,Drama,Add a Plot,2011,"Esha Kansara ,Siddharth Arora ,Shivkumar Subramaniam ,Surbhi Zaveri Vyas"
Dance Deewane,5.8,Reality-TV,All the 3 generation People will compete with each other in their own categories and Later 1 from each 3 categories will be selected for the Grand Finale. The One Will be the Winner.,2018– ,"Madhuri Dixit ,Tushar Kalia ,Arjun Bijlani ,Shashank Khaitan"
Internet Wala Love,8.2,Romance,"Jai and Aadhya are diametrically opposite to each other. Jai lives his life on social media and is an open book, chapter and verse. Aadhya on the contrary is wary of the internet and limits her interaction on social media.",2018–2019,"Shivin Narang ,Tunisha Sharma ,Sagar Parekh ,Arya Poorti"
Havan,0.0,Drama,A story about a devotee and the God..,2011– ,"Prachi Thakker ,Shubhangi Atre Poorey ,Narendra Jha ,Shrenu Parikh"
Anhoniyon Ka Andhera,0.0,Thriller,"It is story of a family that has horrifying experiences with the dark world, of ghosts and spirits. And how they deal with them and help others .",2011,"Nayan Bhatt ,Ajay Chaudhary ,Mohit Malhotra ,Anita Hassanandani Reddy"
Sanskar Dharohar Apno Ki,8.8,Drama,"Sanskaar-2 takes the story of the Vaishnav family ahead by a year, with Kishan, Bhoomi and the rest of the family leading a happy life. But there are some elements which don't want this ...                See full summary »",2013–2014,"Jay Soni ,Shamin Mannan ,Shresth Kumar ,Tejasswi Prakash"
Karmaphal Daata Shani,8.5,"Drama, Fantasy","The story of the series is based on the life of God Shani, who is known for his wrath. The serial also shows Vishnu and Shiva as Shani's mentors. It also shows Shani's tough childhood, ...                See full summary »",2016–2018,"Kartikey Malviya ,Juhi Parmar ,Salil Ankola ,Rohit Khurana"
Shastri Sisters,7.6,Drama,"Narayan Shastri's four daughters relocate from a small town in Kanpur to Delhi. Amidst a lot of memories spent in Kanpur, they experience a culture shock in their lives in a new city.",2014–2015,"Ishita Ganguly ,Sonal Vengurlekar ,Vijayendra Kumeria ,Sumeet Bharadwaj"
Thapki Pyar Ki,2.9,"Drama, Romance","Take a look at the past episodes of 'Thapki Pyar Ki', the story of a woman who faces several problems with a positive perspective and moves to a city in order to find a job and live independently.",2015–2017,"Jigyasa Singh ,Manish Goplani ,Shrashti Maheshwari ,Krishna Mishra"
Krishnadasi,7.4,"Drama, Romance, Thriller",Aradhya falls in love with Aryan but is unable to keep herself away from the mysterious history of her family. Her mother Tulsi has not told her that they are descendants of devadasis.,2016,"Uday Tikekar ,Kaivalya Chheda ,Shravan Reddy ,Indira Krishnan"
Code Red,6.7,Crime,Add a Plot,2015– ,"Shahab Khan ,Shaleen Malhotra ,Gautam Singh Rajput ,Amardeep Garg"
Bigg Boss,3.9,Reality-TV,"Isolated from the outside world, the contestants live together in a house under the live cameras that monitor their every move. They perform various tasks and avoid eviction to be declared a winner.",2006– ,"Salman Khan ,Atul Kapoor ,Vijay Vikram Singh ,Gautam Gulati"
Dastaan-E-Mohabbat: Salim Anarkali,7.4,"Drama, History, Romance","Salim, a young Mughal prince falls for a courtesan named Anarkali but things become complicated after he faces opposition from Emperor Akbar, his father.",2018–2019,"Aruna Irani ,Parvati Sehgal ,Sayantani Ghosh ,Hemant Choudhary"
Aise Karo Naa Vidaa,0.0,Drama,"Reva is a young and innocent village woman who is about to get married. However, in a traumatic turn of events, she is raped by Prince Aryaman, who is smitten with her.",2010,"Kishori Shahane ,Anas Rashid ,Aastha Chaudhary ,Aman Sharma"
Tantra,6.3,"Drama, Fantasy, Thriller","Prithvi Khanna and his family are overcome with joy when they finally buy their dream house. However, soon Prithvi and his daughter Niyati realizes that they must fight the dark forces that haunt them.",2018– ,"Sargun Kaur Luthra ,Farida Dadi ,Gautam Vig ,Juhi Parmar"
Yeh Pyar Na Hoga Kam,8.5,"Drama, Romance",Abeer who lives in Lucknow belongs to a Brahmin family. No sooner does he set eyes on Leher than he is undoubtedly smitten by her. They face numerous problems as they belong to different castes.,2009–2010,"Yami Gautam ,Gaurav Khanna ,Parul Gulati ,Bhupinder Singh"
Vish Ya Amrit - Sitara,6.6,Fantasy,"Sitara was born to a Vishkanya but her father fought a pitched battle to keep her away from the evil forces. But what happens when fate brings her back to the doorstep of where it all started? Good or evil, what will Sitara choose?",2018– ,"Arhaan Behl ,Shilpa Saklani ,Adaa Khan ,Soni Singh"
Kesari Nandan,8.0,"Drama, Sport",The story about struggle of a girl to become a wrestler and relationship with her father.,2019,"Mayank Nishchal ,Aastha Chaudhary ,Chahat Tewani ,Dakssh Ajit Singh"
Gathbandhan,8.0,"Drama, Romance","A tongue-in-cheek story between a boy, who is a don, and a self-righteous girl studying to be a police officer.",2018–2019,"Shruti Sharma ,Abrar Qazi ,Sonali Naik ,Priyanka Chahar Choudhary"
Comedy Nights with Kapil,8.0,"Comedy, Talk-Show",Every episode starts with stage act of Kapil Sharma and various characters and then Kapil take one or more celebrity interview with co-actors.,2013–2016,"Kapil Sharma ,Kiku Sharda ,Navjot Singh Sidhu ,Ali Asgar"
Jhansi Ki Rani,7.5,"Drama, History","Yhe story of fierce warrior Manikarnika who was later given the name of Rani Laxmibai , Queen of Jhansi.",2019,"Anushka Sen ,Vikas Manaktala ,Andy von Eich ,Athar Siddiqui"
Fear Factor: Khatron Ke Khiladi,6.0,"Action, Reality-TV",Indian version of Fear Factor.,2008– ,"Rohit Shetty ,Akshay Kumar ,Bharti Singh ,Shantanu Maheshwari"
India's Got Talent,5.5,Reality-TV,"An Indian reality television series on Colors television network, and part of the global Got Talent variety acts reality series.",2009– ,"Kirron Kher ,Malaika Arora ,Karan Johar ,Sonali Bendre"
Khatra Khatra Khatra,6.9,"Comedy, Reality-TV",The five popular television faces will feature in a rib-tickling show based on the concept of embarrassing dares and one-up man-ship.,2019– ,"Bharti Singh ,Harsh Limbachiyaa ,Gaurav Dubey ,Aditya Narayan"
Bepanah Pyarr,7.3,Romance,"Raghbir's first wife is dead, he is about to marry his childhood friend but even before the ceremony begins another woman is already claiming he's her husband.",2019– ,"Pearl Puri ,Ishita Dutta ,Aparna Dixit ,Sudha Chandran"
Kitchen Champion,7.5,Reality-TV,Add a Plot,2010– ,"Surbhi Jyoti ,Sidharth Shukla ,Karanvir Bohra ,Arjun Bijlani"
Vish,6.8,Drama,"A bed-ridden business tycoon lives along with his mysterious wife, Sabrina who is hiding a dangerous secret. Entering this eerie equation is the innocent Dr Aliya who just walked into a raging battle between the good and the evil.",2019– ,"Vishal Vashishtha ,Debina Bonnerjee ,Sana Makbul ,Leysan Karimova"
Shrimad Bhagwat Mahapuran,8.8,Drama,Add a Plot,2019– ,"Varun Joshi ,Rajneesh Duggal ,Guru Saran Tiwari ,Tripti Agarwal"
Choti Sarrdaarni,3.2,Drama,"Meher is coerced by her mother into marrying Sarabjeet, a widower with a 5 year-old child. But, much to her mother's dislike, Meher is pregnant with her lover, Manav's child. Can she stand up for her love and fight her own?",2019– ,"Nimrit Ahluwalia ,Anita Raj ,Amal Sherawat ,Avinesh Rekhi"
Ram Siya Ke Luv Kush,7.2,Drama,"Sons of Lord Rama and Sita, Luv and Kush grow up in Valmiki's ashram, unaware of their lineage hidden from the truth by Sita.",2019– ,"Puneet Vashisht ,Himanshu Soni ,Navi Bhangu ,Sanjeev Sharma"
Jai Jag Janani Maa Durga,7.7,History,Add a Plot,2012–2013,"Piyali Munshi ,Pushkar Priyadarshi ,Manish Uppal ,Vikramjeet Virk"
Vidya,6.9,Drama,Vidya is an illiterate army widow who gets a compensatory government job as an English teacher.,2019–2020,"Swadesh Mishra ,Santosh Yadav ,Prakash Vishwakarma ,Neil Sharma"
Shubharambh,6.8,"Drama, Romance","Shubharambh is a story of Rani who is a hardworking girl and she does everything she can to make ends meet. Destiny will bring her to Raja, who changes her life completely. But leading to some misunderstandings...........",2019– ,"Chhaya Vora ,Mahima Makwana ,Akshit Sukhija ,Shagun Pandey"
Naati Pinky Ki Lambi Love Story,6.7,Drama,"Her unbreakable spirit and her wit are what help her stand out. Harboring dreams of becoming a stand-up comedian, she falls flat on her face when she faces her rigid and traditional father. Will Pinky find her courage and strength?",2020– ,"Puneet Chouksey ,Riya Shukla ,Mahi Kamla ,Aditya Deshmukh"
Barrister Babu,6.8,"Drama, History, Romance","In a bid to save an 8-year-old girl from becoming the victim of Sati, Anirudh marries a curious and tyrant girl Bondita. Anirudh educates Bondita and makes her the first ""Barrister Babu"" of their region.",2020– ,"Pravisht Mishra ,Aurra Bhatnagar Badoni ,Pallavi Mukherjee ,Jaya Thakur"
Entertainment Ki Raat,0.0,"Comedy, Reality-TV","Back with another smashing season, Entertainment Ki Raat is loaded with killer comedy, juicy gossip and candid chats with your favourite celebrity guests. So for that dose of laughter you ...                See full summary »",2017– ,"Balraj Syal ,Malishka Mendonsa ,Raghu Ram ,Aditya Narayan"
